uf,regiao,est,lower,upper,true,beta_reg,w,elast_eb
AC,N,0.31454810948781686,0.158868791511504,0.6800355221953482,0.26173141243711406,0.20574107829661853,0.005625392597169365,0.20635316056440148
AL,NE,0.4412095556573853,0.3347320305251588,0.6093592118657599,0.338515202440269,0.20772762115385707,0.01996686585999666,0.21238952362082153
AP,N,0.249261813904058,-0.02233422477948279,0.46243620654153295,0.2688031717757968,0.20574107829661853,0.006496112045836386,0.20602379387144168
AM,N,0.12952492637008367,-0.04039355116897563,0.2767840195021249,0.14160922907152607,0.20574107829661853,0.01504416202169224,0.20459447015836585
BA,NE,0.059934108423385785,-0.20452561387062604,0.2710333837568807,0.1564319942173879,0.20772762115385707,0.006748489992835839,0.20673023811218944
CE,NE,0.12058738525844462,-0.27633531071806083,0.4379531481527369,0.24403178130426584,0.20772762115385707,0.0030026376330490614,0.20746597060220473
DF,CO,0.13298218441474205,-0.4472077831517835,0.36833002830365014,0.2116810550764256,0.18819099621101623,0.0023049726949753643,0.1880637414073038
ES,SE,0.15207609464514713,0.08209733092136835,0.25147809914497427,0.15055120793074128,-0.008783575475917293,0.8844948614146629,0.13349597615502198
GO,CO,0.35244377314077857,0.1516921727633412,0.4878524043763842,0.268617134457717,0.18819099621101623,0.01341522377261081,0.1903944839688017
MA,NE,0.17960555298624536,-0.36705477571948203,0.6037339005026573,0.28505060838923507,0.20772762115385707,0.0016277933084795227,0.20768184423947322
MT,CO,0.09245326535488879,-0.11040300356938737,0.2846741317992605,0.19838557323588774,0.18819099621101623,0.009748502242590728,0.18725769672706472
MS,CO,0.1690634426439604,-0.06677278115871545,0.5312475171381057,0.11612064872624515,0.18819099621101623,0.004278212376917501,0.1881091644746055
MG,SE,-0.20130203956823756,-0.3934813584607535,0.06950643968115615,0.053536977892363946,-0.008783575475917293,0.5061493847721914,0.0
PA,N,0.23190017407655175,-0.08287163462215393,0.5258472157154688,0.28906433514102214,0.20574107829661853,0.004129765865577623,0.20584910923744487
PB,NE,0.19306157430692605,-0.1969728044377792,0.6924517045043882,0.24293474418417205,0.20772762115385707,0.001938631391372898,0.20769918909505228
PR,S,0.18056555565348556,0.06900555035581701,0.2975922074713285,0.19869120701889345,0.15464176974980637,0.02856716901299275,0.1553823389231734
PE,NE,0.23489326177180914,0.04406504768976388,0.5072689492056619,0.15741462960152586,0.20772762115385707,0.007110703853476522,0.2079207879792813
PI,NE,-0.03211636177797048,-0.20114915768048136,0.10678059212577075,0.21381775584955084,0.20772762115385707,0.01594672456982216,0.2039028952183141
RJ,SE,-0.15640269133763718,-0.3394894566755164,0.03722690960969351,0.04253450199912033,-0.008783575475917293,0.6075475495843289,0.0
RN,NE,0.20447291028275405,-0.03336214417117595,0.4421095766180046,0.19345927894537251,0.20772762115385707,0.006750950977642293,0.20770564876031986
RS,S,0.15493390218386566,0.0167804187624971,0.3840351572057017,0.20418378466461773,0.15464176974980637,0.011264232588850684,0.15464506039749035
RO,N,0.23361874520247594,0.00798449646443577,0.41977083451220554,0.11116512049877884,0.20574107829661853,0.008980376951679608,0.20599143025396646
RR,N,0.0384654893186849,-0.14850281666037785,0.24109997828746735,0.16795443021712508,0.20574107829661853,0.010021616156194743,0.20406470655158027
SC,S,0.13773436521370683,-0.18055756727192757,0.5779568738864883,0.15982731433205885,0.15464176974980637,0.0026636069525550494,0.15459673506953434
SP,SE,0.0616454105185135,-0.2861945442966102,0.4301392335991156,0.079891781705069,-0.008783575475917293,0.299791213823689,0.012330415723724706
SE,NE,0.11971123161736,-0.14679972006956163,0.3221679931028169,0.2248626144212186,0.20772762115385707,0.006938196093220479,0.20711694618383558
TO,N,0.17208231711071414,0.0036889932686718497,0.34487172400359456,0.18668830754740323,0.20574107829661853,0.013028271818330113,0.2053025628068203
