t,Produto,Investimento,Salario,Consumo,Arrecadacao,CapitalHumano,GastoEduc,Emprego
0,-0.024344577640844633,0.02105818526847436,0.016233011686894727,0.028484541231033056,-0.024344577640844633,0.0,-1.000000000000012,-0.04057100343202169
1,-0.03219513238168492,-0.0016741900861871883,0.010828363125114926,0.023818381384610454,-0.03219513238168492,-0.01204223961848161,-1.000000000000012,-0.043018837270913934
2,-0.040438622990091044,-0.022181396103981843,0.0045109290871314656,0.018082478663949964,-0.04043862299007994,-0.023602789652221734,-1.000000000000012,-0.04494752452626205
3,-0.048949708992340746,-0.040755787389401554,-0.0025078501568631673,0.01151426931924604,-0.048949708992329644,-0.034700917684615806,-1.000000000000012,-0.046443023556930196
4,-0.057625076867029446,-0.05764667592126349,-0.010052100378954432,0.004311535721690518,-0.057625076867029446,-0.04535512059571367,-1.000000000000012,-0.04757775905217532
5,-0.06637991425642031,-0.07306686336348012,-0.017975888699661713,-0.0033613352235506433,-0.06637991425640921,-0.05558315539037073,-1.000000000000012,-0.048412728174895836
6,-0.07514493755150786,-0.08719818029400139,-0.026158475548154758,-0.01136806792565448,-0.07514493755150786,-0.06540206879324106,-1.000000000000012,-0.04899927946789839
7,-0.0838638860770402,-0.10019618152835585,-0.034500307060125746,-0.019596037073943418,-0.0838638860770291,-0.07482822565999525,-1.000000000000012,-0.04938061548088735
8,-0.09249140980498449,-0.11219412491894065,-0.04291963287105238,-0.027952502005890167,-0.09249140980497339,-0.0838773362520806,-1.000000000000012,-0.04959306209411096
9,-0.10099128903445775,-0.12330634222144088,-0.05134965213751119,-0.03636142856050517,-0.10099128903444665,-0.09256448242047632,-1.000000000000012,-0.04966714080097967
10,-0.10933493414652107,-0.13363109446367094,-0.05973610571204935,-0.04476080722867204,-0.10933493414650997,-0.10090414274214199,-1.000000000000012,-0.04962847455249886
11,-0.11750012167959234,-0.14325299041895168,-0.06803524514138459,-0.053100390549398746,-0.11750012167959234,-0.10891021665093703,-1.000000000000012,-0.04949855300009354
12,-0.12546992982053196,-0.15224503493643793,-0.07621211992238086,-0.061339784644631745,-0.12546992982053196,-0.11659604760337894,-1.000000000000012,-0.04929537895148606
13,-0.1332318421758627,-0.16067036379660005,-0.08423913353966528,-0.0694468398808823,-0.1332318421758627,-0.1239744453177205,-1.000000000000012,-0.04903401446513245
14,-0.14077699354858586,-0.16858371314391052,-0.09209482648951939,-0.07739629417458094,-0.14077699354858586,-0.13105770712349418,-1.000000000000012,-0.04872704214398116
15,-0.14809953554552058,-0.176032664234671,-0.09976285097935689,-0.08516862966561067,-0.14809953554550948,-0.13785763845703958,-1.000000000000012,-0.04838495477650362
16,-0.15519610329686184,-0.18305869801231722,-0.1072311074740484,-0.09274910957467464,-0.15519610329686184,-0.14438557253724227,-1.000000000000012,-0.048016484430857265
17,-0.1620653674853756,-0.18969808874615968,-0.11449101788765237,-0.10012696720611558,-0.1620653674853645,-0.15065238925423552,-1.000000000000012,-0.04762888038769564
18,-0.16870765834435808,-0.19598266147491383,-0.12153691413167023,-0.10729472340733626,-0.16870765834434698,-0.15666853330255082,-1.000000000000012,-0.0472281438413269
19,-0.1751246503597481,-0.2019404342107567,-0.12836552403491241,-0.1142476124705194,-0.1751246503597481,-0.1624440315889264,-1.000000000000012,-0.04681922606972755
20,-0.18131909816532232,-0.2075961626233358,-0.13497553944163965,-0.12098309956808384,-0.18131909816532232,-0.1679885099438505,-1.000000000000012,-0.046406195736725664
21,-0.18729461560017535,-0.21297180220904988,-0.14136725365334613,-0.12750047543669263,-0.18729461560017535,-0.17331120916457277,-1.000000000000012,-0.04599238011149254
22,-0.19305549114800868,-0.21808690063160885,-0.14754225737330096,-0.1338005162428657,-0.19305549114800868,-0.17842100041647324,-1.000000000000012,-0.0455804842501073
23,-0.198606534032697,-0.22295893096481167,-0.15350318399580676,-0.13988519843604053,-0.1986065340326859,-0.18332640001829104,-1.000000000000012,-0.04517269155673853
24,-0.2039529461358991,-0.22760357492204175,-0.15925349650557363,-0.14575745997839062,-0.2039529461358991,-0.188035583636037,-1.000000000000012,-0.044770748612921185
25,-0.20910021565678782,-0.23203496373992438,-0.16479730945446747,-0.15142100067861985,-0.20910021565678782,-0.1925563999090718,-1.000000000000012,-0.04437603671686441
26,-0.21405402906734539,-0.23626588322126496,-0.17013924049851248,-0.15688011548670167,-0.21405402906733428,-0.19689638353118655,-1.000000000000012,-0.04398963219496288
27,-0.21882019845671508,-0.24030794842094805,-0.17528428683606379,-0.16213955556229065,-0.21882019845670397,-0.20106276780842425,-1.000000000000012,-0.04361235723000512
28,-0.2234046018092739,-0.2441717526215692,-0.18023772261348547,-0.1672044127358996,-0.2234046018092628,-0.20506249671456978,-1.000000000000012,-0.04324482267934471
29,-0.2278131341452605,-0.24786699452645777,-0.18500501397678004,-0.1720800236641673,-0.2278131341452605,-0.20890223646446993,-1.000000000000012,-0.042887464127483454
30,-0.23205166777745534,-0.2514025869918557,-0.18959174896518993,-0.1767718905559712,-0.23205166777745534,-0.2125883866243683,-1.000000000000012,-0.042540572227178775
31,-0.23612602020861573,-0.2547867501095813,-0.19400357988005323,-0.18128561583374836,-0.23612602020860463,-0.2161270907778734,-1.000000000000012,-0.04220431821677639
32,-0.24004192842713712,-0.2580270910133464,-0.19824617613231066,-0.18562684850487177,-0.24004192842713712,-0.21952424676523474,-1.000000000000012,-0.041878775365611354
