t,Produto,Investimento,Salario,Consumo,Arrecadacao,CapitalHumano,GastoEduc,Emprego
0,-0.01908512382639005,0.07229520916447463,0.012725439794003535,0.022329954662092533,-0.019085123826378947,0.0,-0.9950166250832004,-0.03180651610134033
1,-0.023485495702457726,0.03965651526673941,0.00849596738325964,0.01815208166582316,-0.023485495702457726,-0.01198201798651155,-0.8959621227116354,-0.031978746181893225
2,-0.028069857409507293,0.012921061634996178,0.00340638330995624,0.012909956575435366,-0.02806985740949619,-0.022288170380202477,-0.806728339442897,-0.03147516855458443
3,-0.03265901741370536,-0.008856501170539932,-0.0021890700101057092,0.0070106746520970376,-0.03265901741369426,-0.031104843325124865,-0.7263492402573846,-0.030470614426680864
4,-0.03711924475200412,-0.026474778326812665,-0.008015890087009758,0.0007712413177873856,-0.03711924475199302,-0.038599090623880894,-0.653952363398147,-0.02910568774494582
5,-0.0413533211160777,-0.04060807742454209,-0.0138643624210677,-0.005564663124779656,-0.0413533211160777,-0.04492058367038254,-0.588750034258656,-0.027492770392345545
6,-0.04529318602848331,-0.05182548390469943,-0.01957719124729973,-0.011812800236432608,-0.04529318602848331,-0.050203367816048505,-0.5300313505747889,-0.025721030236480757
7,-0.048893903289382035,-0.060607053528127786,-0.02503928513272191,-0.017836896721978857,-0.048893903289382035,-0.05456744407238423,-0.4771548818485405,-0.023860592678515147
8,-0.05212872283282266,-0.0673575450825914,-0.030169338984487037,-0.02353917577256892,-0.05212872283282266,-0.05812019325568407,-0.4295420279168183,-0.02196601084861749
9,-0.054985050168765426,-0.07241805832219894,-0.03491291224072546,-0.028852562305858864,-0.054985050168765426,-0.060957658044458185,-0.3866709840478322,-0.02007914814342593
10,-0.05746116713709615,-0.07607589065345977,-0.03923675187521569,-0.03373428202166906,-0.05746116713709615,-0.06316569693363139,-0.34807126273090905,-0.01823156873728138
11,-0.05956357391369016,-0.07857288102538496,-0.043124149847550974,-0.03816061965830064,-0.05956357391369016,-0.06482102272055146,-0.31331872528767013,-0.01644651648656792
12,-0.06130484402243619,-0.08011247028864021,-0.04657115904151965,-0.042122640047936866,-0.06130484402243619,-0.06599213693331274,-0.28203107947397665,-0.014740549825842386
13,-0.06270190228019334,-0.08086567343168483,-0.04958352060837612,-0.04562270767480836,-0.06270190228018224,-0.06674017050319891,-0.25386380228463734,-0.013124889454085853
14,-0.06377465075013689,-0.08097612995054959,-0.05217417985535766,-0.04867166740334383,-0.06377465075013689,-0.06711963997788617,-0.22850645016094795,-0.01160652650480376
15,-0.06454488042024753,-0.08056437363612723,-0.0543612881364508,-0.05128657167848827,-0.06454488042024753,-0.0671791276630973,-0.20567932169449632,-0.010189131226789883
16,-0.06503541686854186,-0.07973144167545687,-0.05616660523759531,-0.05348885849316698,-0.06503541686854186,-0.0669618932579441,-0.185130440689818,-0.008873795740782509
17,-0.06526945698197562,-0.07856192476523027,-0.05761423102336183,-0.05530290034667651,-0.06526945698197562,-0.06650642380566785,-0.166632830076352,-0.007659639000734408
18,-0.06527006113968836,-0.07712654439945288,-0.05872960707271613,-0.05675485776991396,-0.06527006113967726,-0.06584692810978066,-0.149982049634656,-0.006544297507193875
19,-0.06505977140371932,-0.0754843303169217,-0.05953873904139817,-0.05787178217627753,-0.06505977140371932,-0.06501378115861822,-0.13499397281918624,-0.005524321473671101
20,-0.06466033137122462,-0.07368445988018557,-0.060067598868518424,-0.05868092216152476,-0.06466033137122462,-0.06403392355378568,-0.12150278011692217,-0.004595492904968523
21,-0.06409248760391728,-0.07176781166920998,-0.0603416729459183,-0.0592091952073992,-0.06409248760391728,-0.06293122044317423,-0.1093591483832923,-0.003753079328860931
22,-0.06337585610193264,-0.06976827751244974,-0.06038562822487936,-0.059482793290932534,-0.06337585610192153,-0.06172678401333842,-0.09842861744471243,-0.0029920346359735284
