uf,ano,regiao,salario_medio,gasto_edu_pc,pib_pc
AC,2010,N,1719.5623527055843,582.5031309083955,23685.779228883144
AC,2011,N,1824.783924282954,631.5322929191619,25187.348094870664
AC,2012,N,2063.588728111269,626.7533917967454,26773.744918518783
AC,2013,N,2021.073608549582,688.0569117036283,26729.86368510321
AC,2014,N,1792.0869897544878,413.2766954363008,26722.5500989615
AC,2015,N,1915.7095758771707,459.0382933450142,27857.32112656684
AC,2016,N,2535.4802057794723,817.4938367794654,29406.160510472524
AC,2017,N,2321.182015987722,911.1281408324031,27036.281516871157
AC,2018,N,2254.8600719886394,716.7880719828629,30003.741983775406
AC,2019,N,2303.4373403959307,834.632087693026,31558.06213245353
AC,2020,N,2680.244259566527,907.0035274312153,29965.303966923475
AC,2021,N,2870.569503419549,879.004342309898,31303.51899376203
AC,2022,N,2760.13649377446,953.782432744568,32127.53476150961
AL,2010,NE,1922.2989863876815,894.3246042328877,23569.09206096405
AL,2011,NE,1667.8237345567602,647.8383710022117,22989.970352048636
AL,2012,NE,1602.269314520274,505.04053961225713,23784.698393499017
AL,2013,NE,1539.7075337495107,534.9787472399962,22431.865366164915
AL,2014,NE,1858.494925462793,720.5369148597387,25710.046317187327
AL,2015,NE,1631.9414227810719,516.3799523605029,24798.1439486654
AL,2016,NE,1567.270044745609,549.0324245052857,21802.68488804381
AL,2017,NE,2031.0712845206906,794.0016861851066,23951.736729428205
AL,2018,NE,2065.6206896133153,735.9346630932547,25558.835823580685
AL,2019,NE,2314.658710708501,869.834828743512,24459.389023044747
AL,2020,NE,1828.5906265012686,595.1814944282629,25999.551132327593
AL,2021,NE,2194.592683434026,1017.6194936985371,25022.91449070436
AL,2022,NE,2044.6960432134445,722.0620945897207,25387.19131530679
AP,2010,N,1584.8963898567386,556.3918453943318,24311.503018424475
AP,2011,N,1833.9718826976791,532.3067404820889,25919.21279829272
AP,2012,N,1865.106103672151,502.6125090815228,26179.861565546333
AP,2013,N,1754.5466780983802,502.7539608933923,26773.366600791876
AP,2014,N,1929.6409839639846,482.0196486317122,27229.053906092366
AP,2015,N,2230.178926363085,895.4940779673728,25939.74747934122
AP,2016,N,2170.1748885882257,770.0377297532596,30168.144209132588
AP,2017,N,2205.3352993553403,698.2218862498553,28031.497262231685
AP,2018,N,2333.0703916004513,828.4461395209432,29059.429964138522
AP,2019,N,2295.4401317211637,808.245394022164,31045.63114124732
AP,2020,N,2516.0232475093803,903.4332534903967,31238.976288252343
AP,2021,N,2565.5089685247135,752.2263296401516,32144.59494272949
AP,2022,N,2122.1629532119478,628.6030985233248,30260.43142998711
AM,2010,N,1813.4062681184073,677.5920847992425,25457.291960068
AM,2011,N,2014.534294420787,545.623141892928,27142.65329398847
AM,2012,N,2004.6251568108323,862.3525335930251,25945.651790299522
AM,2013,N,1814.7404423821474,705.4225373214347,26169.77164280592
AM,2014,N,2001.2747932776044,645.0566262462272,27938.610581863682
AM,2015,N,2183.2580919188817,678.3627457701872,26963.582584205902
AM,2016,N,2246.7074886355567,956.6494667043235,29371.691642530885
AM,2017,N,2087.9383527520968,639.9995434503028,28573.192413884695
AM,2018,N,2223.915683912419,883.4007000011587,30319.08580758106
AM,2019,N,2359.9217712803847,1017.516381353576,29410.116544540164
AM,2020,N,2319.3529431869924,776.2232137177207,29576.584798700984
AM,2021,N,2335.158942083692,846.717099024993,29912.868897151096
AM,2022,N,2680.3017208676843,1247.500665176199,30621.092204161938
BA,2010,NE,1988.218802096925,663.7870977914062,20668.66105663586
BA,2011,NE,1941.1081608000961,675.4389870115609,23686.856949738936
BA,2012,NE,1863.671420593628,882.0502649534585,24090.736572968588
BA,2013,NE,1885.594950917799,621.6725527859742,25678.980168912378
BA,2014,NE,1956.9209566268532,836.5279140620572,25542.088098893
BA,2015,NE,2056.3431739174157,774.6763113940121,25413.765797602216
BA,2016,NE,2175.530707315629,836.8335707897165,27371.659987812796
BA,2017,NE,2195.274901852632,754.0068925875192,24863.161847222604
BA,2018,NE,2335.551696051231,987.9485784842635,26580.979067780554
BA,2019,NE,2256.1512253019205,876.9264884830126,27981.79445442588
BA,2020,NE,2271.90623246036,771.4235641392926,28403.63342274192
BA,2021,NE,2411.250443676695,937.4913363758651,28207.48802383685
BA,2022,NE,2400.2551080017697,851.5549063800115,28890.30964113971
CE,2010,NE,1461.5381900755947,562.7896300204903,22264.487684105392
CE,2011,NE,1615.9186631019284,557.8481802722182,24019.233926618395
CE,2012,NE,1643.1699023242186,705.5596194691836,23489.94147625819
CE,2013,NE,1708.9997396349377,690.562276277669,22802.544103283522
CE,2014,NE,1650.8399855963014,828.213728883747,26053.937586242886
CE,2015,NE,1809.2408279335966,732.1309505396971,23353.4419646445
CE,2016,NE,1679.8923799122967,509.99500729614186,24292.961412402194
CE,2017,NE,1621.7787226893277,591.759273080581,23123.497271523698
CE,2018,NE,1843.1647970137226,821.9064432466366,25465.41627169479
CE,2019,NE,2146.1017147989414,810.883974419457,27501.838612890137
CE,2020,NE,2052.098320227843,931.6034955325591,27531.10612744774
CE,2021,NE,2076.16625743754,994.0772039533048,27549.31855612414
