uf,regiao,est,lower,upper,true,beta_reg,w,elast_eb,pop,base_wage,perda_salarial_10a,perda_salarial_20a
AL,NE,0.4412095556573853,0.3347320305251588,0.6093592118657599,0.338515202440269,0.207727621153857,0.0199668658599966,0.2123895236208215,3128,2044.6960432134445,0.1320382088505255,0.7653418875501525
PE,NE,0.2348932617718091,0.0440650476897638,0.5072689492056619,0.1574146296015258,0.207727621153857,0.0071107038534765,0.2079207879792813,9058,2790.9868732134714,0.1292600875954071,0.7492388777945257
RN,NE,0.204472910282754,-0.0333621441711759,0.4421095766180046,0.1934592789453725,0.207727621153857,0.0067509509776422,0.2077056487603198,3303,2291.9682855633832,0.12912633995738385,0.7484636274285048
PB,NE,0.193061574306926,-0.1969728044377792,0.6924517045043882,0.242934744184172,0.207727621153857,0.0019386313913728,0.2076991890950522,3974,1984.8779811331376,0.12912232411603175,0.7484403501390954
MA,NE,0.1796055529862453,-0.367054775719482,0.6037339005026573,0.285050608389235,0.207727621153857,0.0016277933084795,0.2076818442394732,6776,2408.0604583995746,0.12911154117521442,0.7483778482591448
CE,NE,0.1205873852584446,-0.2763353107180608,0.4379531481527369,0.2440317813042658,0.207727621153857,0.003002637633049,0.2074659706022047,8794,2045.9595479673617,0.12897733696439906,0.747599951429759
SE,NE,0.11971123161736,-0.1467997200695616,0.3221679931028169,0.2248626144212186,0.207727621153857,0.0069381960932204,0.2071169461838355,2210,2927.34241791938,0.12876035564507166,0.7463422481184004
BA,NE,0.0599341084233857,-0.204525613870626,0.2710333837568807,0.1564319942173879,0.207727621153857,0.0067484899928358,0.2067302381121894,14136,2400.2551080017697,0.1285199471717265,0.7449487524297295
AC,N,0.3145481094878168,0.158868791511504,0.6800355221953482,0.261731412437114,0.2057410782966185,0.0056253925971693,0.2063531605644014,830,2760.13649377446,0.1282855257974568,0.7435899601632517
AP,N,0.249261813904058,-0.0223342247794827,0.4624362065415329,0.2688031717757968,0.2057410782966185,0.0064961120458363,0.2060237938714416,733,2122.162953211948,0.12808076528266288,0.7424030931173231
RO,N,0.2336187452024759,0.0079844964644357,0.4197708345122055,0.1111651204987788,0.2057410782966185,0.0089803769516796,0.2059914302539664,1581,1871.148423626522,0.12806064548574211,0.7422864713948194
PA,N,0.2319001740765517,-0.0828716346221539,0.5258472157154688,0.2890643351410221,0.2057410782966185,0.0041297658655776,0.2058491092374448,8121,2055.255277756928,0.1279721674300314,0.7417736201318863
TO,N,0.1720823171107141,0.0036889932686718,0.3448717240035945,0.1866883075474032,0.2057410782966185,0.0130282718183301,0.2053025628068203,1511,2173.1376429942147,0.12763239072860547,0.7398041497469217
AM,N,0.1295249263700836,-0.0403935511689756,0.2767840195021249,0.141609229071526,0.2057410782966185,0.0150441620216922,0.2045944701583658,3941,2680.3017208676843,0.127192184058294,0.7372525504265329
RR,N,0.0384654893186849,-0.1485028166603778,0.2410999782874673,0.167954430217125,0.2057410782966185,0.0100216161561947,0.2040647065515802,636,2328.1943944021,0.12686284089408484,0.7353435566500957
PI,NE,-0.0321163617779704,-0.2011491576804813,0.1067805921257707,0.2138177558495508,0.207727621153857,0.0159467245698221,0.2039028952183141,3271,2331.351592256058,0.12676224610837253,0.7347604723758919
GO,CO,0.3524437731407785,0.1516921727633412,0.4878524043763842,0.268617134457717,0.1881909962110162,0.0134152237726108,0.1903944839688017,7056,3197.8721731726573,0.11836434401134532,0.6860831516340135
MS,CO,0.1690634426439604,-0.0667727811587154,0.5312475171381057,0.1161206487262451,0.1881909962110162,0.0042782123769175,0.1881091644746055,2757,3826.5844929014897,0.11694360777388584,0.677848043303219
DF,CO,0.132982184414742,-0.4472077831517835,0.3683300283036501,0.2116810550764256,0.1881909962110162,0.0023049726949753,0.1880637414073038,2817,3342.9876012765417,0.11691536918497258,0.6776843620845114
MT,CO,0.0924532653548887,-0.1104030035693873,0.2846741317992605,0.1983855732358877,0.1881909962110162,0.0097485022425907,0.1872576967270647,3658,3323.7912367778185,0.11641426774636174,0.6747797943520402
PR,S,0.1805655556534855,0.069005550355817,0.2975922074713285,0.1986912070188934,0.1546417697498063,0.0285671690129927,0.1553823389231734,11444,3616.815278888872,0.09659801184473203,0.5599175069281089
RS,S,0.1549339021838656,0.0167804187624971,0.3840351572057017,0.2041837846646177,0.1546417697498063,0.0112642325888506,0.1546450603974903,10882,3956.74425190174,0.0961396609134076,0.5572607368159262
SC,S,0.1377343652137068,-0.1805575672719275,0.5779568738864883,0.1598273143320588,0.1546417697498063,0.002663606952555,0.1545967350695343,7610,3646.603493407177,0.09610961804859657,0.5570865973523417
ES,SE,0.1520760946451471,0.0820973309213683,0.2514780991449742,0.1505512079307412,-0.0087835754759172,0.8844948614146629,0.1334959761550219,3833,3744.721513278637,0.08299170919433026,0.48105038623862906
SP,SE,0.0616454105185135,-0.2861945442966102,0.4301392335991156,0.079891781705069,-0.0087835754759172,0.299791213823689,0.0123304157237247,44411,3931.423565451423,0.007665566449734987,0.04443243472367011
RJ,SE,-0.1564026913376371,-0.3394894566755164,0.0372269096096935,0.0425345019991203,-0.0087835754759172,0.6075475495843289,0.0,16055,3900.978699143128,0.0,0.0
MG,SE,-0.2013020395682375,-0.3934813584607535,0.0695064396811561,0.0535369778923639,-0.0087835754759172,0.5061493847721914,0.0,20539,3845.495022889439,0.0,0.0
